"index","imdb_id","kaggle_id","title","original_title","tagline","belongs_to_collection","wikipedia_url","imdb_link","runtime","budget","revenue","release_date","popularity","vote_average","vote_count","genres","original_language","overview","spoken_languages","country","production_companies","production_countries","distributor","producers","director","starring","cinematography","editors","writers","composers","based_on"
82,"tt0099747",22189,"Havana","Havana","A gambler who trusted no one. A woman who risked everything. And a passion that brought them together in the most dangerous city in the world.",NULL,"https://en.wikipedia.org/wiki/Havana_(film)","https://www.imdb.com/title/tt0099747/",144,40000000,9243140,"1990-12-11 00:00:00",10.10753,5.5,20,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","en","An American professional gambler named Jack Weil (Redford) decides to visit Havana, Cuba to gamble. On the boat to Havana, he meets Roberta Duran (Olin), the wife of a revolutionary, Arturo (Julia). Shortly after their arrival, Arturo is taken away by the secret police, and Roberta is captured and tortured. Jack frees her, but she continues to support the revolution.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]","United States","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Mirage Films', 'id': 15685}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Universal Pictures","{""Sydney Pollack"",""Richard Roth""}","Sydney Pollack","{""Robert Redford"",""Lena Olin"",""Alan Arkin""}","Owen Roizman","{""Fredric Steinkamp"",""William Steinkamp""}","{""Judith Rascoe"",""David Rayfiel""}","Dave Grusin",NULL
83,"tt0099750",41817,"Heart Condition","Heart Condition",NULL,NULL,"https://en.wikipedia.org/wiki/Heart_Condition_(film)","https://www.imdb.com/title/tt0099750/",100,NULL,4100000,"1990-02-02 00:00:00",5.531486,5.1,25,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]","en","A bigoted policeman is given the heart of a slain black defense lawyer,who returns as a ghost to ask the cop to help take down the men who murdered him","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'New Line Cinema', 'id': 12}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","New Line Cinema","Steve Tisch","James D. Parriott","{""Bob Hoskins"",""Denzel Washington"",""Chloe Webb""}","Arthur Albert","David Finfer","James D. Parriott","Patrick Leonard",NULL
84,"tt0099762",17993,"Henry & June","Henry & June","A true adventure more erotic than any fantasy",NULL,"https://en.wikipedia.org/wiki/Henry_%26_June","https://www.imdb.com/title/tt0099762/",136,NULL,11567449,"1990-09-28 00:00:00",4.459959,6.3,40,"[{'id': 10749, 'name': 'Romance'}]","en","While traveling in Paris, author Henry Miller and his wife, June, meet Anais Nin, and sexual sparks fly as Nin starts an affair with the openly bisexual June. When June is forced to return to the U.S., she gives Nin her blessing to sleep with her husband. Then, when June returns to France, an unexpected, and sometimes contentious, threesome forms.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Walrus & Associates', 'id': 35480}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Universal Pictures","Peter Kaufman","Philip Kaufman","{""Fred Ward"",""Uma Thurman"",""Maria de Medeiros"",""Richard E. Grant"",""Kevin Spacey""}","Philippe Rousselot","{""Dede Allen"",""Vivien Hillgrove Gilliam"",""William S. Scharf""}","{""Philip Kaufman"",""Rose Kaufman""}",NULL,NULL
117,"tt0100135",10169,"Men at Work","Men at Work","Two garbagemen who know when something smells funny!",NULL,"https://en.wikipedia.org/wiki/Men_at_Work_(1990_film)","https://www.imdb.com/title/tt0100135/",98,9000000,16247964,"1990-08-24 00:00:00",8.339485,5.5,99,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","en","Two garbage men find the body of a city councilman in a trash can on their route. With help from a supervisor, the duo must solve the case and find the man's killer while hiding the body from the cops.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Epic Productions', 'id': 1988}, {'name': 'Euphoria Films Production', 'id': 73999}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Triumph Releasing Corporation","Cassian Elwes","Emilio Estevez","{""Charlie Sheen"",""Emilio Estevez"",""Leslie Hope"",""Keith David"",""Darrell Larson"",""Dean Cameron"",""John Getz""}","Tim Suhrstedt","Craig Bassett","Emilio Estevez","Stewart Copeland",NULL
85,"tt0099763",10692,"Henry: Portrait of a Serial Killer","Henry: Portrait of a Serial Killer","The shocking true story of Henry Lee Lucas.","{'id': 143755, 'name': 'Henry: Portrait of a Serial Killer Collection', 'poster_path': None, 'backdrop_path': None}","https://en.wikipedia.org/wiki/Henry:_Portrait_of_a_Serial_Killer","https://www.imdb.com/title/tt0099763/",83,111000,609939,"1986-09-24 00:00:00",10.072668,6.8,142,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","en","Henry likes to kill people, in different ways each time. Henry shares an apartment with Otis. When Otis' sister comes to stay, we see both sides of Henry: ""the guy next door"" and the serial killer.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Maljack Productions', 'id': 11506}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Greycat Films","{""Lisa Dedmond"",""Steven A. Jones"",""John McNaughton""}","John McNaughton","{""Michael Rooker"",""Tom Towles"",""Tracy Arnold""}","Charlie Lieberman","Elena Maganini","{""Richard Fire"",""John McNaughton""}","{""Ken Hale"",""Steven A. Jones"",""Robert McNaughton""}",NULL
86,"tt0099785",771,"Home Alone","Home Alone","A Family Comedy Without the Family.","{'id': 9888, 'name': 'Home Alone Collection', 'poster_path': '/zYPsleQJo1n1rBPlecJBRb3iwSO.jpg', 'backdrop_path': '/cYS2aWxECESUN2OS3JiLrKMmOko.jpg'}","https://en.wikipedia.org/wiki/Home_Alone","https://www.imdb.com/title/tt0099785/",103,18000000,476684675,"1990-11-09 00:00:00",0.702543,7.1,2487,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","en","Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Hughes Entertainment', 'id': 477}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","20th Century Fox","John Hughes","Chris Columbus","{""Macaulay Culkin"",""Joe Pesci"",""Daniel Stern"",""John Heard"",""Catherine O'Hara""}","Julio Macat","Raja Gosnell","John Hughes","John Williams",NULL
87,"tt0096101",11966,"Short Circuit 2","Short Circuit 2","The adventures of America's most electric leading man continue.","{'id': 86347, 'name': 'Short Circuit Collection', 'poster_path': '/AZFGrT6LotCm69uNgVnTkUYBGh.jpg', 'backdrop_path': '/o3C0qlKyg7Haot9ZVqtRtsrKwWc.jpg'}","https://en.wikipedia.org/wiki/Hot_Cars,_Cold_Facts","https://www.imdb.com/title/tt0096101/",110,15000000,21630088,"1988-07-06 00:00:00",7.34677,5.5,168,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]","en","Robot Johnny Five comes to the city and gets manipulated by criminals who want him for their own purposes.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'David Foster Productions', 'id': 496}, {'name': 'TriStar Pictures', 'id': 559}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","TriStar Pictures","{""David Foster"",""Gary Foster"",""Lawrence Turman""}","Kenneth Johnson","{""Fisher Stevens"",""Michael McKean"",""Cynthia Gibb"",""Jack Weston"",""Tim Blaney""}","John McPherson","Conrad Buff IV","{""Brent Maddock"",""S.S. Wilson""}","Charles Fox",NULL
88,"tt0099797",14864,"The Hot Spot","The Hot Spot",NULL,NULL,"https://en.wikipedia.org/wiki/The_Hot_Spot","https://www.imdb.com/title/tt0099797/",130,NULL,1293976,"1990-10-12 00:00:00",3.985689,6.4,48,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]","en","A loner moves in to a small Texas town, finds himself a job, and sets about plotting to rob the local bank.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Orion Pictures', 'id': 41}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Orion Pictures","Paul Lewis","Dennis Hopper","{""Don Johnson"",""Virginia Madsen"",""Jennifer Connelly"",""Charles Martin Smith""}","Ueli Steiger","Wende Phifer Mate","{""Charles Williams"",""Nona Tyson""}","Jack Nitzsche","{""Hell Hath No Fury"",""by Charles Williams""}"
89,"tt0099800",16094,"House Party","House Party","If they get caught it's all over. If they don't, it's just the beginning!","{'id': 159600, 'name': 'House Party Collection', 'poster_path': '/hwaQA1SEoiWsacESz0IMaDQ3vVV.jpg', 'backdrop_path': None}","https://en.wikipedia.org/wiki/House_Party_(film)","https://www.imdb.com/title/tt0099800/",100,2500000,26386000,"1990-03-09 00:00:00",2.291511,6.1,52,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","en","Young Kid has been invited to a party at his friend Play's house. But after a fight at school, Kid's father grounds him. None the less, Kid sneaks out when his father falls asleep. But Kid doesn't know that three of the thugs at school have decided to give him a lesson in behavior.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'New Line Cinema', 'id': 12}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","New Line Cinema","{""Gerald T. Olson"",""Warrington Hudlin""}","Reginald Hudlin","{""Kid 'n Play"",""Full Force"",""Robin Harris""}","Peter Deming","Earl Watson","Reginald Hudlin","{""Lenny White"",""Marcus Miller""}",NULL
90,"tt0099810",1669,"The Hunt for Red October","The Hunt for Red October","Invisible. Silent. Stolen.","{'id': 192492, 'name': 'The Jack Ryan Collection', 'poster_path': '/uCuiExsQDyJagov5aVAyw38YEm.jpg', 'backdrop_path': '/qYlcVBifq5T4wyWV00a5Awq0kUi.jpg'}","https://en.wikipedia.org/wiki/The_Hunt_for_Red_October_(film)","https://www.imdb.com/title/tt0099810/",134,30000000,199200000,"1990-03-02 00:00:00",15.91126,7.2,971,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]","en","A new Soviet nuclear missile sub (a Boomer) heading out on her maiden voyage that is being tracked by a Los Angeles class American submarine suddenly goes silent and ""disappears"". This focuses the attention of both U.S. Intelligence and the U.S. Navy on the Russian Sub Commander .  When it is determined that the silent Soviet Boomer may be headed for American coastal waters panic ensues. A CIA analyst, Jack Ryan,  convinces the brass that the Boomer's commander may intend something other than a nuclear first strike in mind. A perilous and tense cat-and-mouse game ensues.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]","United States","[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Nina Saxon Film Design', 'id': 1693}, {'name': 'Mace Neufeld Productions', 'id': 2767}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Paramount Pictures","Mace Neufeld","John McTiernan","{""Sean Connery"",""Alec Baldwin"",""Scott Glenn"",""James Earl Jones"",""Sam Neill""}","Jan de Bont","{""Dennis Virkler"",""John Wright""}","{""Larry Ferguson"",""Donald E. Stewart""}","Basil Poledouris","{""The Hunt for Red October"",by,""Tom Clancy""}"
971,"tt0111667",19855,"The War","The War",NULL,NULL,"https://en.wikipedia.org/wiki/The_War_(1994_film)","https://www.imdb.com/title/tt0111667/",126,34000000,16480770,"1994-11-04 00:00:00",3.908596,6.3,39,"[{'id': 18, 'name': 'Drama'}]","en","The son of a Vietnam War Veteran must deal with neighborhood bullies as well as his dad's post-traumatic stress disorder while growing up in the deep south in the 1970's.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Universal Pictures","{""Eric Eisner"",""Todd Baker""}","Jon Avnet","{""Elijah Wood"",""Kevin Costner"",""Mare Winningham"",""Lexi Randall""}","Geoffrey Simpson","Debra Neil-Fisher","Kathy McWorter","Thomas Newman",NULL
91,"tt0099817",19384,"Dark Angel","Dark Angel","Jack Caine. Houston cop. Human. What he's up against, isn't.",NULL,"https://en.wikipedia.org/wiki/I_Come_in_Peace","https://www.imdb.com/title/tt0099817/",91,7000000,9229401,"1990-01-26 00:00:00",7.958502,5.5,75,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}]","en","Jack Caine is a Houston vice cop who's forgotten the rule book. His self-appointed mission is to stop the drugs trade and the number one supplier Victor Manning. Whilst involved in an undercover operation to entrap Victor Manning, his partner gets killed, and a sinister newcomer enters the scene...","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Epic Productions', 'id': 1988}, {'name': 'Vision International', 'id': 3603}, {'name': 'Vision PDG', 'id': 4109}, {'name': 'Trans World Entertainment (TWE)', 'id': 17915}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","{""Triumph Releasing Corporation"",""Vision International""}","{""Jeff Young"",""Jon Turtle"",""Rafael Eisenman""}","Craig R. Baxley","{""Dolph Lundgren"",""Brian Benben"",""Betsy Brantley""}","Mark Irwin","Mark Helfrich","{""Jonathan Tydor"",""David Koepp""}","Jan Hammer",NULL
92,"tt0099819",3101,"I Love You to Death","I Love You to Death","With These People Trying To Kill Him, Joey Boca May Just Live Forever",NULL,"https://en.wikipedia.org/wiki/I_Love_You_to_Death","https://www.imdb.com/title/tt0099819/",94,NULL,16200000,"1990-04-06 00:00:00",8.11216,6.2,68,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","en","Joey Boca is the owner of a pizza parlor located in Tacoma, Washington, and has been married to Rosalie for years. Rosalie is horrified to discover that Joey is a womanizer and has been cheating on her for a long time. Based on the true story of Frances and Anthony Toto.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]","United States","[{'name': 'TriStar Pictures', 'id': 559}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","TriStar Pictures","Jeffrey Lurie","Lawrence Kasdan","{""Kevin Kline"",""Tracey Ullman"",""William Hurt"",""River Phoenix"",""Joan Plowright"",""Keanu Reeves""}","Owen Roizman","Anne V. Coates","John Kostmayer","James Horner",NULL
93,"tt0099844",44257,"Industrial Symphony No. 1: The Dream of the Brokenhearted","Industrial Symphony No. 1: The Dream of the Brokenhearted",NULL,NULL,"https://en.wikipedia.org/wiki/Industrial_Symphony_No._1","https://www.imdb.com/title/tt0099844/",50,NULL,NULL,"1990-01-01 00:00:00",1.132574,6.7,15,"[{'id': 10402, 'name': 'Music'}]","en","After her boyfriend ends their relationship, the dreamself of a heartbroken woman floats through the air over an industrial wasteland singing ballads of love.","[{'iso_639_1': 'en', 'name': 'English'}]",NULL,"[{'name': 'Propaganda Films', 'id': 278}, {'name': 'Warner Home Video', 'id': 2786}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Warner Home Video","Angelo Badalamenti","David Lynch","{""Laura Dern"",""Nicolas Cage"",""Julee Cruise"",""Michael J. Anderson""}",NULL,NULL,"David Lynch","{""Angelo Badalamenti"",""David Lynch"",""Julee Cruise"",(Vocals)}",NULL
