"index","imdb_id","kaggle_id","title","original_title","tagline","belongs_to_collection","wikipedia_url","imdb_link","runtime","budget","revenue","release_date","popularity","vote_average","vote_count","genres","original_language","overview","spoken_languages","country","production_companies","production_countries","distributor","producers","director","starring","cinematography","editors","writers","composers","based_on"
71,"tt0099691",41762,"Graffiti Bridge","Graffiti Bridge","Music is the power. Love is the message. Truth is the answer.",NULL,"https://en.wikipedia.org/wiki/Graffiti_Bridge_(film)","https://www.imdb.com/title/tt0099691/",95,NULL,4600000,"1990-11-02 00:00:00",0.907645,5.4,8,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]","en","It's got that Purple Rain feeling through and though. And it's got The Kid, too! For the first time since Purple Rain, Prince is back as The Kid. And where he goes , there's music! With Thieves in the Temple, New Power Generation, Elephants and Flowers and more red-hot Prince tunes from the Platinum-selling Graffiti Bridge soundtrack. What time is it? Party time! Morris Day and the Time play Release It, Shake! and more. And you'll also see and hear George Clinton, Tevin Campbell, Robin Power, Mavis Staples and other hot performers, too. Graffiti Bridge is where the movie meets the music. Cross over on it now.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Paisley Park Films', 'id': 16750}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Warner Bros.","{""Arnold Stiefel"",""Randy Phillips""}","Prince","{Prince,""Morris Day"",""Jerome Benton"",""The Time"",""Jill Jones"",""Mavis Staples"",""George Clinton"",""Ingrid Chavez"",""Tevin Campbell""}","Bill Butler","Rebecca Ross","Prince","Prince",NULL
72,"tt0099699",12157,"Green Card","Green Card","The story of two people who got married, met and then fell in love.",NULL,"https://en.wikipedia.org/wiki/Green_Card_(film)","https://www.imdb.com/title/tt0099699/",108,12500000,29888235,"1990-12-23 00:00:00",11.169488,5.9,97,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","en","Urban horticulturalist Brontë Mitchell has her eye on a gorgeous apartment, but the building's board will rent it only to a married couple. Georges Fauré, a waiter from France whose visa is expiring, needs to marry an American woman to stay in the country. Their marriage of convenience turns into a burden when they must live together to allay the suspicions of the immigration service, as the polar opposites grate on each other's nerves.","[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]","{""United States"",Australia,France}","[{'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","Buena Vista Pictures","Peter Weir","Peter Weir","{""Gérard Depardieu"",""Andie MacDowell""}","Geoffrey Simpson","William M. Anderson","Peter Weir","Hans Zimmer",NULL
73,"tt0099700",928,"Gremlins 2: The New Batch","Gremlins 2: The New Batch","Here they grow again.","{'id': 89151, 'name': 'The Gremlins Collection', 'poster_path': '/yiZ18XZHFNjFfEDnEkFCrHVHXcn.jpg', 'backdrop_path': '/2Oz7EyiM9nNeP7appRFkMZNeYRo.jpg'}","https://en.wikipedia.org/wiki/Gremlins_2:_The_New_Batch","https://www.imdb.com/title/tt0099700/",106,50000000,41482207,"1990-06-15 00:00:00",14.383185,6.3,664,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}]","en","Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Warner Bros.","Michael Finnell","{""Joe Dante"",""Chuck Jones"",(animation)}","{""Zach Galligan"",""Phoebe Cates"",""John Glover"",""Robert J. Prosky"",""Robert Picardo"",""Christopher Lee""}","John Hora","Kent Beyda","Charles S. Haas","Jerry Goldsmith","{""Characters created by"",""Chris Columbus""}"
74,"tt0099703",18129,"The Grifters","The Grifters","Seduction. Betrayal. Murder. Who's conning who?",NULL,"https://en.wikipedia.org/wiki/The_Grifters_(film)","https://www.imdb.com/title/tt0099703/",110,NULL,13446769,"1990-09-14 00:00:00",10.809693,6.5,112,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","en","A young short-con grifter suffers both injury and the displeasure of reuniting with his criminal mother, all the while dating an unpredictable young lady.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Miramax Films', 'id': 14}, {'name': 'Cineplex-Odeon Films', 'id': 5231}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Miramax Films","{""Martin Scorsese"",""Robert A. Harris"",""Jim Painten""}","Stephen Frears","{""John Cusack"",""Anjelica Huston"",""Annette Bening""}","Oliver Stapleton","Mick Audsley","Donald E. Westlake","Elmer Bernstein","{""The Grifters"",by,""Jim Thompson""}"
75,"tt0099704",66706,"Grim Prairie Tales","Grim Prairie Tales","Hit the Trail... To Terror",NULL,"https://en.wikipedia.org/wiki/Grim_Prairie_Tales","https://www.imdb.com/title/tt0099704/",86,NULL,NULL,"1990-09-14 00:00:00",0.001586,6.8,5,"[{'id': 37, 'name': 'Western'}, {'id': 27, 'name': 'Horror'}]","en","Two travelers meet on the open prairie, and pass their time together by trading stories with each other. Their tales become a sort of competition, each attempting to relate something which might disturb the other.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'East-West Film Partners', 'id': 46903}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Image Entertainment","Richard Hahn","Wayne Coe","{""James Earl Jones"",""Brad Dourif"",""Will Hare"",""Marc McClure"",""Michelle Joyner"",""William Atherton"",""Lisa Eichhorn""}","Janusz Kamiński","Earl Ghaffari","Wayne Coe","Steven Dancz",NULL
76,"tt0099710",32043,"The Guardian","The Guardian","Tonight, while the world is asleep... an ancient evil is about to awaken.",NULL,"https://en.wikipedia.org/wiki/The_Guardian_(1990_film)","https://www.imdb.com/title/tt0099710/",92,NULL,17037887,"1990-04-27 00:00:00",7.444848,5.3,32,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","en","The idyllic lives of Phil and Kate seem complete when they select the winsome young Camilla as a live-in nanny for their newborn child. But the lovely young Camilla s not what she appears to be.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Universal Pictures","Joe Wizan","William Friedkin","{""Jenny Seagrove"",""Dwier Brown"",""Carey Lowell""}","John A. Alonzo","Seth Flaum","{""William Friedkin"",""Dan Greenburg"",""Stephen Volk""}","Jack Hues","{""The Nanny"",""by Dan Greenburg""}"
77,"tt0099720",46360,"Guns","Guns","Locked, Cocked & Ready To Rock!",NULL,"https://en.wikipedia.org/wiki/Guns_(film)","https://www.imdb.com/title/tt0099720/",96,NULL,NULL,"1990-11-09 00:00:00",0.665062,4.4,4,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]","en","A South American gunrunner uses an island in Hawaii as his base of operations. A squad of beautiful government agents is sent to put him out of business.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Malibu Bay Films', 'id': 5957}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Malibu Bay Films","Arlene Sidaris","Andy Sidaris","{""Erik Estrada"",""Dona Speir"",""Devin DeVasquez"",""Danny Trejo"",""Cynthia Brimhall""}","Howard Wexler","Michael Haight","Andy Sidaris","Richard Lyons",NULL
79,"tt0099731",20815,"The Handmaid's Tale","The Handmaid's Tale","A haunting tale of sexuality in a country gone wrong.",NULL,"https://en.wikipedia.org/wiki/The_Handmaid%27s_Tale_(film)","https://www.imdb.com/title/tt0099731/",108,13000000,4960385,"1990-03-09 00:00:00",3.163613,5.8,31,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]","en","In a dystopicly polluted rightwing religious tyranny, a young woman is put in sexual slavery on account of her now rare fertility.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]","{""United States"",Germany}","[{'name': 'Bioskop Film', 'id': 5982}, {'name': 'Cinecom Entertainment Group', 'id': 8865}, {'name': 'Cinetudes Films', 'id': 13060}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","Cinecom Pictures","Daniel Wilson","Volker Schlöndorff","{""Natasha Richardson"",""Faye Dunaway"",""Aidan Quinn"",""Elizabeth McGovern"",""Victoria Tennant"",""Robert Duvall""}","Igor Luther","David Ray","Harold Pinter","Ryuichi Sakamoto","{""The Handmaid's Tale"",by,""Margaret Atwood""}"
80,"tt0099739",9569,"Hard to Kill","Hard to Kill","Nico's back and this time he's even more harder to kill.",NULL,"https://en.wikipedia.org/wiki/Hard_to_Kill","https://www.imdb.com/title/tt0099739/",96,10000000,47410000,"1990-02-09 00:00:00",7.176601,5.6,141,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","en","Mason Storm, a 'go it alone' cop, is gunned down at home. The intruders kill his wife, and think they've killed both Mason and his son too. Mason is secretly taken to a hospital where he spends several years in a coma. His son meanwhile is growing up thinking his father is dead. When Mason wakes up, everyone is in danger - himself, his son, his best friend, his nurse - but most of all those who arranged for his death","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Warner Bros.","{""Gary Adelson"",""Joel Simon"",""Bill Todman, Jr.""}","Bruce Malmuth","{""Steven Seagal"",""Kelly LeBrock"",""Bill Sadler"",""Frederick Coffin""}","Matthew F. Leonetti","John F. Link","Steven McKay","David Michael Frank",NULL
81,"tt0099740",11309,"Hardware","Hardware","You can't stop progress.",NULL,"https://en.wikipedia.org/wiki/Hardware_(film)","https://www.imdb.com/title/tt0099740/",93,1500000,5728953,"1990-09-14 00:00:00",6.026159,5.6,88,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","en","It was the movie that stunned audiences, shocked the MPAA and marked the debut of one of the most uncompromising filmmakers in modern horror. Golden Globe winner Dylan McDermott (The Practice) stars as a post-apocalyptic scavenger who brings home a battered cyborg skull for his metal-sculptor girlfriend. But this steel scrap contains the brain of the M.A.R.K. 13, the military's most ferocious bio-mechanical combat droid. It is cunning, cruel and can reassemble itself. Tonight, it is reborn....and no flesh shall be spared. Stacey Travis (Ghost World) co-stars - along with appearances by Iggy Pop, Lemmy of Motörhead and music by Ministry and Public Image Ltd.","[{'iso_639_1': 'en', 'name': 'English'}]","United Kingdom","[{'name': 'Palace Pictures', 'id': 927}, {'name': 'British Screen Productions', 'id': 12745}, {'name': 'Wicked Films', 'id': 21443}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","{""Palace Pictures"",(UK),""Millimeter Films"",(US)}","{""JoAnne Sellar"",""Paul Truybits""}","Richard Stanley","{""Dylan McDermott"",""Stacey Travis"",""John Lynch"",""William Hootkins"",""Iggy Pop""}","Steven Chivers","Derek Trigg","Richard Stanley","Simon Boswell","{""\""SHOK!\"""",by,""Steve MacManus"",""Kevin O'Neill""}"
